objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
hamilton01,singsingposter.jpg,,Sing Sing (2023),image/jpg,"Divine G, imprisoned at Sing Sing for a crime he didn’t commit, finds purpose by acting in a theatre group alongside other incarcerated men in this story of resilience, humanity, and the transformative power of art.","Kwedar, Greg",,2023-09-10,,,"drama, arts, prison, theater & performance","Ossining, NY",41.1511799,-73.8705646,,,,,,,,,,,
hamilton02,tokyocowboyposter.jpg,,Tokyo Cowboy (2023),image/jpg,"Sometimes going off course is the best course of action.
Brash businessman Hideki (Arata Iura) convinces his Tokyo bosses he can turn a profitless Montana cattle ranch into a premiere-performing asset. However, when his Japanese Wagyu-beef expert fails him, Hideki is poised to fail unless he identifies a missing element that’s key to the transformation: himself.","Marriott, Marc",,2023-10-07,,,"comedy, romance, drama, fish out of water, montana","Montana, USA",45.4054955,-110.7305283,,,,,,,,,,,
hamilton03,oneofthemdaysposter.jpg,,One of Them Days (2025),image/jpg,"Best friends and roommates Dreux and Alyssa are about to have One of Them Days. When they discover Alyssa’s boyfriend has blown their rent money, the duo finds themselves going to extremes in a comical race against the clock to avoid eviction and keep their friendship intact.","Lamont, Lawrence",,2025-01-08,,,"comedy, friendship, relationships","Los Angeles, CA",33.9934667,-118.2769914,,,,,,,,,,,
hamilton04,sinnersposter.jpg,,Sinners (2025),image/jpg,"Dance with the devil.
Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Coogler, Ryan",,2025-04-03,,,"thriller, horror, vampires, gothic horror, racism","Clarksdale, MS",34.1909906,-90.6164905,,,,,,,,,,,
hamilton05,brothergirlsposter.jpg,,brothergirls. (2024),image/jpg,"F*ck your friends, find your brothers
After she discovers her boyfriend has been unfaithful, Logan reunites with her childhood friends to steal back the Polaroids she had gifted him for his birthday.","Hardesty, Mikey",,2024-08-11,,,"drama, friendship, short film, relationships","Colorado Springs, CO",38.8759405,-104.9168957,,,,,,,,,,,
hamilton06,womenonthevergeposter.jpg,,Women on the Verge of a Nervous Breakdown (988),image/jpg,"A comedy about someone you know.
Pepa resolves to kill herself with a batch of sleeping-pill-laced gazpacho after her lover leaves her. Fortunately, she is interrupted by a deliciously chaotic series of events.","Almodovar, Pedro",,1988-03-14,,,"drama, comedy, relationships, ","Madrid, Spain",40.4380986,-3.8443431,,,,,,,,,,,
hamilton07,wagesoffearposter.jpg,,The Wages of Fear (1953),image/jpg,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.","Clouzot, Henri-Georges",,1953-04-15,,,"thriller, drama, relationships, tragedy",Las Piedras,6.6398966,-71.9102521,,,,,,,,,,,
hamilton08,inthemoodforlove.jpg,,In the Mood for Love (2000),image/jpg,"Feel the heat, keep the feeling burning, let the sensation explode.
In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.",Wong Kar-wai,,2000-05-20,,,"romance, drama, relationships, tragedy",Hong Kong,22.3529584,113.9745912,,,,,,,,,,,
hamilton09,thelastshowgirlposter.jpg,,The Last Showgirl (2024),image/jpg,"When the glittering Las Vegas revue she has headlined for decades announces it will soon close, a glamorous showgirl must reconcile with the decisions she’s made and the community she has built as she plans her next act.","Coppola, Gia",,2024-09-06,,,"drama, relationships, gender, aging, theater & performance","Las Vegas, NV",36.1175564,-115.2076423,,,,,,,,,,,
hamilton10,imstillhere.jpg,,I'm Still Here (2024),image/jpg,"In 1971, military dictatorship in Brazil reaches its height. The Paiva family — Rubens, Eunice, and their five children — live in a beachside house in Rio, open to all their friends. One day, Rubens is taken for questioning and does not return.","Salles, Walter",,2024-09-01,,,"drama, dictatorship, history, politics","Rio de Janeiro, Brazil",-22.9137295,-43.61079,,,,,,,,,,,
hamilton11,secretmallapartment.jpg,,Secret Mall Apartment (2025),image/jpg,"Let’s all live at the mall.
In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.","Workman, Jeremy",,2024-03-01,,,"documentary, arts","Providence, RI",41.8171626,-71.462285,,,,,,,,,,,
